baseline_vs_shielded,baseline_vs_masked,baseline_vs_proj,baseline_violations,shielded_violations,masked_violations,proj_violations,batch_idx
0.9999989867210388,0.9999988079071045,0.9324538707733154,3,0,0,0,26
0.9999979734420776,0.9999979734420776,0.9034194946289062,3,0,0,0,27
0.9999974370002747,0.9999974966049194,0.9725433588027954,3,0,0,0,28
0.9999973177909851,0.9999973177909851,0.9045409560203552,3,0,0,0,29
0.9999979734420776,0.9999978542327881,0.9273586273193359,3,0,0,0,30
0.9999982118606567,0.9999982714653015,0.9682767987251282,3,0,0,0,31
0.9999978542327881,0.9999978542327881,0.9438233971595764,3,0,0,0,32
0.999997615814209,0.9999975562095642,0.9659548997879028,3,0,0,0,33
0.9999980926513672,0.9999980926513672,0.9447940587997437,3,0,0,0,34
0.9999991655349731,0.9999991655349731,0.8885315656661987,3,0,0,0,35
0.9999972581863403,0.9999972581863403,0.9445801973342896,3,0,0,0,36
0.9999985694885254,0.9999986290931702,0.9563803672790527,3,0,0,0,37
0.9999988675117493,0.9999988079071045,0.9750715494155884,3,0,0,0,38
0.9999949336051941,0.9999948740005493,0.9709628224372864,3,0,0,0,39
0.9999988079071045,0.9999988675117493,0.9838119745254517,3,0,0,0,40
0.9999982118606567,0.9999983310699463,0.9380134344100952,3,0,0,0,41
0.9999961853027344,0.9999961853027344,0.9136470556259155,3,0,0,0,42
0.9999982118606567,0.999998152256012,0.93536776304245,3,0,0,0,43
0.9999973177909851,0.9999973773956299,0.975995659828186,3,0,0,0,44
0.9999977350234985,0.9999977350234985,0.9331430196762085,3,0,0,0,45
0.9999971985816956,0.9999971389770508,0.8348174095153809,3,0,0,0,46
0.9999972581863403,0.9999971985816956,0.8907313346862793,3,0,0,0,47
0.9999980926513672,0.9999980926513672,0.9344642162322998,3,0,0,0,48
0.9999966621398926,0.9999966025352478,0.9790186882019043,3,0,0,0,49
0.9999964833259583,0.9999964833259583,0.9127575159072876,3,0,0,0,50
0.9999956488609314,0.9999956488609314,0.9808744192123413,3,0,0,0,51
0.9999979734420776,0.9999979734420776,0.9608950018882751,3,0,0,0,52
0.9999982118606567,0.9999980926513672,0.957317590713501,3,0,0,0,53
0.9999977350234985,0.9999977946281433,0.9521825313568115,3,0,0,0,54
0.9999950528144836,0.9999950528144836,0.9461758136749268,3,0,0,0,55
0.9999977350234985,0.9999977946281433,0.9328218698501587,3,0,0,0,56
0.9999960660934448,0.9999961256980896,0.8847759366035461,3,0,0,0,57
0.9999962449073792,0.9999963045120239,0.93567955493927,3,0,0,0,58
0.9999960064888,0.9999961256980896,0.9399658441543579,3,0,0,0,59
0.9999986886978149,0.9999986886978149,0.8913291692733765,3,0,0,0,60
